ReviewID,CustomerID,Age,Gender,Location,Date,Brand,Product,ProductID,Rating,ReviewCategory,ReviewText,Cuisine,HealthPref,PriceSensitivity,WouldRecommend,SentimentLabel,SentimentScore,Polarity,Subjectivity,HelpfulUpvotes,HelpfulDownvotes
RU000001,l511y2adcoid,47,F,Vizag,2024-05-01,CurryCraft,Chicken Biryani,PID00073,4,Value for Money,complaints correctly. No priced the about cost;,Indian,Gluten-Free,Medium,Yes,Positive,0.5,0.0,0.0,25,2
RU000002,v6w0nymrixpt,35,M,Ludhiana,2024-05-01,UrbanTadka,Dal Makhani,PID00636,1,Packaging,"food upon Very arrival. was complete poor packaging, mess the a",Indian,Vegan,High,Yes,Negative,-1.0,-0.07,0.37,11,4
RU000003,olky5vtmy8a5,29,F,Ranchi,2024-05-01,FoodAdda,Coconut Soup,PID00509,1,Customer Service,resolved or was badly. was issue The not handled,Thai,None,High,No,Negative,-1.0,-0.7,0.67,12,10
RU000004,06lhu9hn0pjj,30,Other,Salem,2024-05-01,BiryaniBox,Kofta Curry,PID00020,3,Taste,"standard neither bad. good taste and unremarkable, nor was The",Indian,Vegetarian,High,Yes,Neutral,0.0,0.0,0.42,8,4
RU000005,6ik49eagcuca,54,M,Mysore,2024-05-01,PastaPalace,Spaghetti Bolognese,PID00137,2,Value for Money,for the experience. Felt much like too I paid,Italian,None,High,No,Negative,-0.5,0.2,0.2,25,3
RU000006,r8doufmgl7da,43,F,Guwahati,2024-05-01,UrbanTadka,Dal Makhani,PID00636,1,Packaging,bag. Significant the inside leakage and spillage,Indian,None,High,No,Negative,-1.0,0.38,0.88,17,0
RU000007,kqey5w0usg46,22,M,Nagpur,2024-05-01,MasalaMagic,Palak Paneer,PID00431,3,Customer Service,nor interaction; neither unhelpful. standard helpful A,Indian,Vegetarian,Low,No,Neutral,0.0,0.0,0.0,25,4
RU000008,v3ekt6f0ift1,49,M,Amritsar,2024-05-01,TasteLane,Stir Fry Veggies,PID00505,2,Value for Money,good value. a not Definitely,Chinese,Gluten-Free,High,No,Negative,-0.5,0.35,0.55,3,2
RU000009,602epdij1kgc,56,Other,Mumbai,2024-05-01,VeganVibes,Chicken Pot Pie,PID00369,4,Packaging,"with at intact all. no packed, issues Well arrived",Continental,None,Medium,Yes,Positive,0.5,0.0,0.0,11,0
RU000010,vez167p88qw2,19,Other,Trivandrum,2024-05-01,SpiceHub,Kofta Curry,PID00052,2,Temperature,was disappointing enjoyment. the and affected Temperature,Indian,Vegetarian,High,Yes,Negative,-0.5,-0.6,0.7,10,10
RU000011,zke835orda6s,51,F,Udaipur,2024-05-01,FiestaGrill,Tamales,PID00687,3,Hygiene,"area felt Functional, the messy. but a little",Mexican,Gluten-Free,High,No,Neutral,0.0,-0.19,0.45,5,6
RU000012,jvx8cemnwl3l,32,F,Hyderabad,2024-05-01,WokWay,Chili Chicken,PID00489,1,Packaging,unacceptable standard integrity. of An packaging,Chinese,Vegan,Medium,Yes,Negative,-1.0,0.0,0.0,17,1
RU000013,wr9i5m6o2fs2,33,M,Nashik,2024-05-01,CurryCraft,Masala Dosa,PID00301,5,Delivery,job. than sooner Arrived way expected—fantastic,Indian,Vegetarian,High,No,Positive,1.0,0.0,0.0,15,3
RU000014,o6ouz1egntb3,55,F,Delhi,2024-05-02,TandooriTrail,Aloo Paratha,PID00285,4,Packaging,major of concerns. A very packaging; standard good no,Indian,Vegetarian,Medium,No,Positive,0.5,0.24,0.35,15,1
RU000015,qg2kod13b61k,45,M,Guwahati,2024-05-02,VeganVibes,Omelette,PID00016,1,Delivery,delivery The or cancelled/missed completely cold. was arrived,Continental,Gluten-Free,Medium,No,Negative,-1.0,-0.6,1.0,12,3
RU000016,5wco5ikquqov,48,F,Ludhiana,2024-05-02,SpiceHub,Butter Naan,PID00122,4,Delivery,handled professionally. time was On delivery the and,Indian,Gluten-Free,Low,Yes,Positive,0.5,0.1,0.1,12,4
RU000017,zcmlox8gct3m,38,F,Kochi,2024-05-02,FiestaGrill,Mexican Rice,PID00085,3,Temperature,"The hot—acceptable food warm, was but better. not be could",Mexican,Vegetarian,High,No,Neutral,0.0,0.55,0.55,16,9
RU000018,haun4mvmpcj2,37,F,Chennai,2024-05-02,WrapNation,Nachos,PID00670,2,Delivery,long the to timing Poor had coordination; estimate. too wait after,Mexican,Vegan,High,Yes,Negative,-0.5,-0.23,0.5,15,0
RU000019,0m6cu88wlxwc,26,M,Hyderabad,2024-05-02,FreshBite,Garlic Bread,PID00106,2,Taste,forgettable. The bland taste and underwhelming; was very,Continental,Gluten-Free,High,Yes,Negative,-0.5,-0.16,0.54,22,7
RU000020,edliydzzckgk,57,M,Guwahati,2024-05-02,SpiceHub,Chicken Biryani,PID00042,5,Packaging,for contents. and perfectly designed Totally the leak-proof,Indian,Vegan,Low,Yes,Positive,1.0,0.5,0.88,9,8
RU000021,42pnaubhuiu3,50,M,Jaipur,2024-05-02,VeganVibes,Coleslaw,PID00172,5,Hygiene,spotless. Impeccable looked everything standards;,Continental,Vegan,Medium,Yes,Positive,1.0,0.75,0.75,1,2
RU000022,eruw3jr4owxq,18,F,Amritsar,2024-05-02,PastaPalace,Tiramisu,PID00279,3,Value for Money,of on higher end was Price standard. the,Italian,Vegan,Low,Yes,Neutral,0.0,0.12,0.25,0,0
RU000023,nkseknkbf2p7,37,M,Hyderabad,2024-05-02,UrbanTadka,Masala Dosa,PID00241,1,Taste,a time; The worst in I've dish unpleasant. had highly long,Indian,Vegan,High,No,Negative,-1.0,-0.57,0.78,24,7
RU000024,9unn4g4qt624,27,Other,Varanasi,2024-05-02,WokWay,Tofu Chili,PID00564,1,Portion Size,insulting. Barely was a size meal; the,Chinese,Gluten-Free,Medium,No,Negative,-1.0,-0.47,0.55,19,10
RU000025,ae2jokf38a4s,34,F,Kochi,2024-05-02,SpiceHub,Paneer Butter Masala,PID00036,4,Delivery,hassle-free smooth experience. A and delivery,Indian,Non-Veg,Medium,No,Positive,0.5,0.4,0.5,12,7
RU000026,5t2l4zkg3jff,31,M,Rajkot,2024-05-02,NoodleNest,Wonton Soup,PID00303,3,Delivery,"just but was timing handler fine, was okay. the The",Chinese,Vegetarian,Medium,Yes,Neutral,0.0,0.46,0.5,16,4
RU000027,r8j0jmmyr77y,31,F,Jamshedpur,2024-05-02,WrapNation,Tostadas,PID00120,2,Taste,I had finishing was time it; hard profile flavor unappealing. and odd the a,Mexican,Non-Veg,Low,No,Negative,-0.5,-0.29,0.43,1,8
RU000028,30gnba9vqnwc,46,F,Jaipur,2024-05-02,SpiceHub,Palak Paneer,PID00064,4,Customer Service,coordination and with Helpful polite manner. a good staff,Indian,Vegetarian,Medium,No,Positive,0.5,0.7,0.6,18,4
RU000029,xhcgryqy4umk,39,F,Madurai,2024-05-02,WrapNation,Refried Beans,PID00357,4,Customer Service,my They efficiently resolved query attitude. with and good,Mexican,Vegetarian,High,Yes,Positive,0.5,0.7,0.6,0,1
RU000030,i60n0gpy2gwj,51,Other,Bhopal,2024-05-02,SpiceHub,Veg Pulao,PID00398,4,Temperature,maintained was transit. heat handling; Good well during the,Indian,Non-Veg,Low,No,Positive,0.5,0.7,0.6,4,5
RU000031,vmaf0l00xupn,23,Other,Jamshedpur,2024-05-03,SpiceHub,Veg Pulao,PID00398,3,Taste,"tasted A the core but plain, okay. bit ingredients",Indian,None,High,Yes,Neutral,0.0,0.14,0.43,1,4
RU000032,1fgu4pfvel4p,39,Other,Kolkata,2024-05-03,FreshBite,Omelette,PID00828,5,Portion Size,large The and portion shareable. was perfectly size,Continental,Gluten-Free,Low,Yes,Positive,1.0,0.61,0.71,23,0
RU000033,ezuqtlwburse,32,Other,Kochi,2024-05-03,SpiceHub,Tandoori Chicken,PID00161,1,Hygiene,was visibly The facility/packaging dirty.,Indian,Vegetarian,Medium,No,Negative,-1.0,-0.6,0.8,3,1
RU000034,hzcjlzhiqpvz,30,F,Agra,2024-05-03,FoodAdda,Crispy Tofu,PID00244,4,Taste,"just a little It something. almost was and flavorful missing perfect,",Thai,Gluten-Free,High,Yes,Positive,0.5,0.2,0.52,24,4
RU000035,fizmembyv6op,21,M,Kolkata,2024-05-03,UrbanTadka,Kofta Curry,PID00548,4,Delivery,smooth delivery A hassle-free and experience.,Indian,None,Low,Yes,Positive,0.5,0.4,0.5,2,1
RU000036,6zx7qmh224yl,19,Other,Delhi,2024-05-03,WokWay,Wonton Soup,PID00024,2,Hygiene,the with Not made slightly uneasy. me it happy cleanliness;,Chinese,Vegan,Low,Yes,Negative,-0.5,0.32,0.58,2,5
RU000037,9h2xozd0wc48,43,M,Dindigul,2024-05-03,MasalaMagic,Tandoori Chicken,PID00377,1,Delivery,ruined my meal planning. service; Unreliable,Indian,Non-Veg,High,Yes,Negative,-1.0,0.0,0.0,19,9
RU000038,gpwh0ynz06ax,53,M,Salem,2024-05-03,SpiceHub,Rajma Chawal,PID00442,5,Temperature,used was insulation; excellent Clearly temperature ideal.,Indian,None,Medium,Yes,Positive,1.0,0.67,0.79,25,3
RU000039,tef0o1bavavq,52,F,Bangalore,2024-05-03,FiestaGrill,Quesadilla,PID00364,4,Packaging,"intact no with at issues arrived all. Well packed,",Mexican,None,High,No,Positive,0.5,0.0,0.0,15,6
RU000040,xf2haqaledzl,26,F,Guwahati,2024-05-03,TandooriTrail,Aloo Paratha,PID00285,1,Portion Size,of tiny amount value. food; unacceptable Extremely,Indian,Vegan,Low,No,Negative,-1.0,-0.06,0.75,18,3
RU000041,ymwldrv53n8n,57,M,Thrissur,2024-05-03,SpiceHub,Fish Fry,PID00089,4,Customer Service,polite staff Helpful good coordination manner. a and with,Indian,Vegetarian,High,No,Positive,0.5,0.7,0.6,11,1
RU000042,af7fr7m4k0xl,28,Other,Kanpur,2024-05-03,WokWay,Spring Rolls,PID00100,1,Packaging,"the upon Very packaging, poor mess food complete was arrival. a",Chinese,None,High,No,Negative,-1.0,-0.07,0.37,13,5
RU000043,28f7k5mtvge3,40,M,Vijayawada,2024-05-03,FoodAdda,Red Curry,PID00842,2,Portion Size,portion price to was The point. disappointing relative the,Thai,None,High,Yes,Negative,-0.5,-0.3,0.35,6,7
RU000044,04ubg0x4vsg9,55,F,Hyderabad,2024-05-03,TandooriTrail,Chole Bhature,PID00813,2,Portion Size,relative to was disappointing the The point. portion price,Indian,None,Medium,Yes,Negative,-0.5,-0.3,0.35,18,9
RU000045,autl2qpinysu,46,M,Rajkot,2024-05-03,FiestaGrill,Churros,PID00144,4,Temperature,was the during maintained well handling; heat transit. Good,Mexican,Gluten-Free,Medium,Yes,Positive,0.5,0.7,0.6,15,6
RU000046,c2h6htnorre1,34,M,Jaipur,2024-05-03,VeganVibes,Mashed Potatoes,PID00022,1,Temperature,control; not should served/delivered. have temperature Poor been,Continental,Vegan,High,No,Negative,-1.0,-0.4,0.6,9,0
RU000047,hkcqwb00n114,45,M,Bangalore,2024-05-04,VeganVibes,Coleslaw,PID00172,5,Delivery,timing; courteous delivery handler. Perfect,Continental,Vegetarian,Medium,Yes,Positive,1.0,0.8,1.0,2,2
RU000048,o3z1jb0oxdfn,50,Other,Vellore,2024-05-04,PastaPalace,Focaccia,PID00340,5,Delivery,"Delivered early! exactly even hot and little time, on a",Italian,Vegetarian,High,Yes,Positive,1.0,0.11,0.48,15,7
RU000049,i8np9ivd5ow4,55,Other,Vizag,2024-05-04,SpiceHub,Butter Naan,PID00122,1,Value for Money,much I regret meal. for this the paying,Indian,Non-Veg,Low,Yes,Negative,-1.0,0.2,0.2,25,5
RU000050,aqs4fusnzdwp,40,M,Amritsar,2024-05-04,PastaPalace,Spaghetti Bolognese,PID00137,2,Customer Service,be repeat Had understood. to times multiple request to my,Italian,Vegetarian,High,No,Negative,-0.5,0.0,0.0,2,3
RU000051,5h3oq3pnr449,58,F,Bhopal,2024-05-04,FreshBite,Sautéed Veggies,PID00048,5,Temperature,better; was the freshly be food Couldn't heated/chilled.,Continental,Vegetarian,Medium,Yes,Positive,1.0,0.4,0.5,6,3
RU000052,0wtws3y4h1te,48,F,Noida,2024-05-04,BiryaniBox,Chicken Biryani,PID00044,3,Hygiene,"messy. the felt area Functional, but a little",Indian,Non-Veg,Low,No,Neutral,0.0,-0.19,0.45,0,0
